1	41	49
2	35	7
3	55	45
4	55	10
5	5	30
6	25	30
7	10	50
8	0	43
9	55	60
10	30	60
11	10	65
12	50	35
13	30	15
14	5	0
15	30	-5
16	0	10
17	-5	30
18	10	40
19	5	60
20	45	65
21	45	10
22	45	0
23	55	-5
24	65	35
25	65	10
26	45	30
27	35	40
28	41	37
29	64	42
30	40	60
31	31	52
32	35	69
33	53	52
34	65	55
35	63	65
36	-8	60
37	10	10
38	-5	-5
39	60	2
40	40	15
41	42	-3
42	14	2
43	13	-7
44	1	4
45	-4	38
46	-8	48
47	-2	56
48	3	52
49	-4	68
50	47	47
51	49	58
52	27	43
53	37	31
54	57	19
55	63	13
56	53	2
57	32	2
58	36	16
59	11	14
60	7	34
61	2	14
62	14	58
63	27	69
64	5	77
65	62	77
66	49	73
67	67	-5
68	56	39
69	37	47
70	37	56
71	57	68
72	47	6
73	44	7
74	46	3
75	49	1
76	49	42
77	53	43
78	61	52
79	57	48
80	56	37
81	55	54
82	5	47
83	4	37
84	1	31
85	6	12
86	-6	8
87	28	8
88	26	52
89	26	35
90	31	67
91	5	9
92	12	12
93	8	14
94	26	17
95	25	14
96	12	17
97	25	11
98	9	11
99	10	16
100	8	8
101	35	35
